type,origin,destination,departure,arrival,carrier,price
flight,SEA,YYC,2025-10-01T14:05:00,2025-10-01T16:46:00,WS,308.00
flight,SEA,LHR,2025-10-01T17:35:00,2025-10-02T11:25:00,VS,454.00
flight,SEA,SLC,2025-10-01T13:30:00,2025-10-01T16:40:00,VS,454.00
flight,SEA,SFO,2025-10-01T17:10:00,2025-10-01T19:26:00,VS,454.00
flight,SEA,JFK,2025-10-01T07:20:00,2025-10-01T16:03:00,VS,454.00
flight,SEA,LAX,2025-10-01T17:59:00,2025-10-01T20:49:00,VS,454.00
flight,SEA,BOS,2025-10-01T07:20:00,2025-10-01T15:59:00,VS,454.00
flight,SEA,JFK,2025-10-01T07:20:00,2025-10-01T16:03:00,VS,454.00
flight,SEA,DEN,2025-10-01T15:35:00,2025-10-01T19:19:00,UA,454.00
flight,SEA,ATL,2025-10-01T15:20:00,2025-10-01T23:16:00,VS,454.00
flight,SEA,YVR,2025-10-01T14:55:00,2025-10-01T16:01:00,UA,454.00
flight,SEA,YVR,2025-10-01T14:55:00,2025-10-01T16:01:00,AC,454.00
flight,SEA,YUL,2025-10-01T07:15:00,2025-10-01T15:28:00,AC,454.00
flight,SEA,YUL,2025-10-01T07:15:00,2025-10-01T15:28:00,AC,454.00
flight,SEA,SFO,2025-10-01T15:28:00,2025-10-01T17:45:00,UA,454.00
flight,SEA,IAD,2025-10-01T08:00:00,2025-10-01T16:09:00,UA,454.00
flight,SEA,YUL,2025-10-01T07:20:00,2025-10-01T15:33:00,UA,454.00
flight,SEA,YUL,2025-10-01T07:20:00,2025-10-01T15:33:00,UA,454.00
flight,SEA,EWR,2025-10-01T06:00:00,2025-10-01T14:23:00,UA,454.00
flight,SEA,YYZ,2025-10-01T12:00:00,2025-10-01T19:44:00,AC,460.60
flight,SEA,YYZ,2025-10-01T12:00:00,2025-10-01T19:44:00,AC,460.60
flight,SEA,YYZ,2025-10-01T12:20:00,2025-10-01T20:04:00,UA,460.60
flight,SEA,SFO,2025-10-01T09:25:00,2025-10-01T11:44:00,VS,464.00
flight,SEA,MUC,2025-10-01T18:50:00,2025-10-02T13:40:00,UA,477.40
flight,SEA,LHR,2025-10-01T17:35:00,2025-10-02T11:25:00,AF,480.00
flight,SEA,FRA,2025-10-01T14:20:00,2025-10-02T08:55:00,UA,480.40
flight,SEA,FRA,2025-10-01T14:20:00,2025-10-02T08:55:00,UA,480.40
flight,SEA,MUC,2025-10-01T18:50:00,2025-10-02T13:40:00,LH,496.40
flight,SEA,FRA,2025-10-01T14:20:00,2025-10-02T08:55:00,LH,499.40
flight,SEA,FRA,2025-10-01T14:20:00,2025-10-02T08:55:00,LH,499.40
flight,SEA,JFK,2025-10-01T22:55:00,2025-10-02T07:23:00,VS,504.00
flight,SEA,AMS,2025-10-01T14:10:00,2025-10-02T09:00:00,VS,515.00
flight,SEA,FRA,2025-10-01T14:20:00,2025-10-02T08:55:00,LH,515.70
flight,SEA,YVR,2025-10-01T13:30:00,2025-10-01T14:37:00,WS,546.00
flight,SEA,PDX,2025-10-01T16:00:00,2025-10-01T16:49:00,AS,554.00
flight,SEA,PDX,2025-10-01T14:00:00,2025-10-01T14:49:00,AS,554.00
flight,SEA,ORD,2025-10-01T15:05:00,2025-10-01T21:15:00,IB,568.00
flight,SEA,ORD,2025-10-01T06:26:00,2025-10-01T12:35:00,IB,568.00
flight,SEA,ORD,2025-10-01T07:00:00,2025-10-01T13:04:00,IB,568.00
flight,SEA,ORD,2025-10-01T07:00:00,2025-10-01T13:04:00,IB,568.00
flight,SEA,JFK,2025-10-01T11:15:00,2025-10-01T20:16:00,VS,574.00
flight,SEA,JFK,2025-10-01T11:15:00,2025-10-01T20:16:00,VS,574.00
flight,SEA,DFW,2025-10-01T12:45:00,2025-10-01T18:41:00,IB,585.00
flight,SEA,DFW,2025-10-01T07:42:00,2025-10-01T13:45:00,IB,585.00
flight,SEA,LHR,2025-10-01T13:30:00,2025-10-02T06:50:00,AY,626.00
flight,SEA,AMS,2025-10-01T17:40:00,2025-10-02T12:25:00,VS,635.00
flight,SEA,AMS,2025-10-01T17:40:00,2025-10-02T12:25:00,VS,635.00
flight,SEA,ATL,2025-10-01T11:50:00,2025-10-01T19:55:00,VS,666.00
flight,SEA,MSP,2025-10-01T12:00:00,2025-10-01T17:28:00,VS,666.00
flight,SEA,CDG,2025-10-01T18:35:00,2025-10-02T13:40:00,VS,673.60
flight,SEA,JFK,2025-10-01T22:39:00,2025-10-02T06:50:00,AT,716.90
flight,SEA,JFK,2025-10-01T22:39:00,2025-10-02T06:50:00,AT,716.90
flight,SEA,JFK,2025-10-01T22:39:00,2025-10-02T06:50:00,AT,722.50
flight,SEA,JFK,2025-10-01T22:39:00,2025-10-02T06:50:00,AT,722.50
flight,SEA,IST,2025-10-01T19:05:00,2025-10-02T17:00:00,TK,742.10
flight,SEA,IST,2025-10-01T19:05:00,2025-10-02T17:00:00,TK,742.10
flight,SEA,ORD,2025-10-01T09:55:00,2025-10-01T16:10:00,AS,748.00
flight,SEA,IST,2025-10-01T19:05:00,2025-10-02T17:00:00,TK,830.10
flight,SEA,IST,2025-10-01T19:05:00,2025-10-02T17:00:00,TK,830.10
flight,SEA,LHR,2025-10-01T20:20:00,2025-10-02T13:40:00,AY,1273.00
flight,SEA,EWR,2025-10-01T22:54:00,2025-10-02T07:09:00,UA,1394.00
flight,SEA,DUB,2025-10-01T18:45:00,2025-10-02T11:45:00,EI,1477.50
flight,SEA,DUB,2025-10-01T18:45:00,2025-10-02T11:45:00,EI,1477.50
flight,SEA,DUB,2025-10-01T18:45:00,2025-10-02T11:45:00,EI,1493.80
flight,SEA,DUB,2025-10-01T18:45:00,2025-10-02T11:45:00,EI,1493.80
flight,SEA,DEN,2025-10-01T12:43:00,2025-10-01T16:30:00,UA,3958.00
flight,SEA,ORD,2025-10-01T10:50:00,2025-10-01T17:05:00,UA,3958.00
flight,SEA,ORD,2025-10-01T13:57:00,2025-10-01T20:12:00,UA,3958.00
flight,SEA,YYC,2025-10-01T14:05:00,2025-10-01T16:46:00,WS,293.00
flight,SEA,EWR,2025-10-01T10:35:00,2025-10-01T19:02:00,AS,372.50
flight,SEA,LAX,2025-10-01T13:55:00,2025-10-01T16:37:00,AS,398.50
flight,SEA,LAX,2025-10-01T12:50:00,2025-10-01T15:32:00,AS,398.50
flight,SEA,LAX,2025-10-01T08:00:00,2025-10-01T10:44:00,TN,488.00
flight,SEA,LAX,2025-10-01T07:15:00,2025-10-01T10:06:00,TN,488.00
flight,SEA,LAX,2025-10-01T07:00:00,2025-10-01T09:44:00,AS,488.00
flight,SEA,RDM,2025-10-01T22:55:00,2025-10-01T23:57:00,AS,493.60
flight,SEA,JFK,2025-10-01T22:39:00,2025-10-02T06:50:00,B6,519.00
flight,SEA,YVR,2025-10-01T17:40:00,2025-10-01T18:48:00,WS,670.00
flight,SEA,YVR,2025-10-01T17:40:00,2025-10-01T18:48:00,WS,670.00
flight,SEA,YVR,2025-10-01T17:40:00,2025-10-01T18:48:00,WS,670.00
flight,SEA,FRA,2025-10-01T17:05:00,2025-10-02T12:10:00,DE,867.80
flight,SEA,JFK,2025-10-01T22:39:00,2025-10-02T06:50:00,AT,869.90
flight,SEA,JFK,2025-10-01T22:39:00,2025-10-02T06:50:00,AT,869.90
flight,SEA,JFK,2025-10-01T22:39:00,2025-10-02T06:50:00,AT,869.90
flight,SEA,JFK,2025-10-01T22:39:00,2025-10-02T06:50:00,AT,869.90
flight,SEA,JFK,2025-10-01T22:39:00,2025-10-02T06:50:00,AT,875.50
flight,SEA,IST,2025-10-01T19:05:00,2025-10-02T17:00:00,TK,938.10
flight,SEA,IST,2025-10-01T19:05:00,2025-10-02T17:00:00,TK,1098.10
flight,SEA,JFK,2025-10-01T06:55:00,2025-10-01T15:29:00,AS,1288.00
flight,SEA,DFW,2025-10-01T09:57:00,2025-10-01T15:55:00,IB,1302.00
flight,SEA,DFW,2025-10-01T07:42:00,2025-10-01T13:45:00,IB,1302.00
flight,SEA,CDG,2025-10-01T18:35:00,2025-10-02T13:40:00,VS,1335.00
flight,SEA,YUL,2025-10-01T07:20:00,2025-10-01T15:33:00,UA,1335.00
flight,SEA,IAD,2025-10-01T08:00:00,2025-10-01T16:09:00,UA,1335.00
flight,SEA,YUL,2025-10-01T07:20:00,2025-10-01T15:33:00,UA,1335.00
flight,SEA,ATL,2025-10-01T11:50:00,2025-10-01T19:55:00,VS,1335.00
flight,SEA,LAX,2025-10-01T12:00:00,2025-10-01T14:54:00,VS,1335.00
flight,SEA,SLC,2025-10-01T05:45:00,2025-10-01T08:48:00,VS,1335.00
flight,SEA,ATL,2025-10-01T07:20:00,2025-10-01T15:21:00,VS,1335.00
flight,SEA,LAX,2025-10-01T07:20:00,2025-10-01T10:12:00,VS,1335.00
flight,SEA,ATL,2025-10-01T07:20:00,2025-10-01T15:21:00,VS,1335.00
flight,SEA,YUL,2025-10-01T07:15:00,2025-10-01T15:28:00,AC,1335.00
flight,SEA,LHR,2025-10-01T17:35:00,2025-10-02T11:25:00,VS,1338.60
flight,SEA,LHR,2025-10-01T20:25:00,2025-10-02T14:15:00,VS,1338.60
flight,SEA,LHR,2025-10-01T17:35:00,2025-10-02T11:25:00,VS,1338.60
flight,SEA,MUC,2025-10-01T18:50:00,2025-10-02T13:40:00,UA,1357.30
flight,SEA,MUC,2025-10-01T18:50:00,2025-10-02T13:40:00,UA,1357.30
flight,SEA,FRA,2025-10-01T14:20:00,2025-10-02T08:55:00,UA,1361.40
flight,SEA,FRA,2025-10-01T14:20:00,2025-10-02T08:55:00,UA,1361.40
flight,SEA,SFO,2025-10-01T11:20:00,2025-10-01T13:38:00,AS,1371.50
flight,SEA,SFO,2025-10-01T08:05:00,2025-10-01T10:15:00,AS,1371.50
flight,SEA,MUC,2025-10-01T18:50:00,2025-10-02T13:40:00,LH,1376.30
flight,SEA,FRA,2025-10-01T14:20:00,2025-10-02T08:55:00,LH,1380.40
flight,SEA,FRA,2025-10-01T14:20:00,2025-10-02T08:55:00,LH,1380.40
