origin,destination,distance_km
Seattle,Madrid,8532.739911580082
Seattle,Barcelona,8737.48217521761
Seattle,Seville,8676.310457763777
Seattle,Lisbon,8388.993403893335
Madrid,Seattle,8532.739911580082
Madrid,Barcelona,506.8862353088669
Madrid,Seville,390.50419160167525
Madrid,Lisbon,503.86096214002487
Barcelona,Seattle,8737.48217521761
Barcelona,Madrid,506.8862353088669
Barcelona,Seville,831.5136829315037
Barcelona,Lisbon,1009.2461104532899
Seville,Seattle,8676.310457763777
Seville,Madrid,390.50419160167525
Seville,Barcelona,831.5136829315037
Seville,Lisbon,312.1618485526316
Lisbon,Seattle,8388.993403893335
Lisbon,Madrid,503.86096214002487
Lisbon,Barcelona,1009.2461104532899
Lisbon,Seville,312.1618485526316
